1月1日,男女区別とは。
3月7日,入力デバイスが発明するには。
3月8日,新しいロケットを成功させるには。
3月9日,失敗を成功にかえるには。
3月10日,社会の行動を連鎖的に起こすには。
3月11日,3/11を忘れないためには。
3月12日,電子化社会を進めるためにやることは。
3月13日,ホワイトデーを盛り上げるには。
3月14日,若者をバブルにするには。
3月15日,リニアをすぐに開通するには。
3月16日,日本人の歯をきれいにするには。
3月17日,ごみの捨て方を考える。
3月18日,日本人が英語を話すには。
3月19日,AIで教育するには。
3月20日,世代間倫理を考えるには。
3月21日,観光庁を無くすには。
3月22日,緊張するシーンを無くすには。
3月23日,素人参加クイズ番組を復活させるには。
3月24日,島国根性の悪いところを直すには。
3月25日,アジア人であるということは何か。
3月26日,日本食を普及させるには。
3月27日,交渉で負けないためには。
3月28日,扇動されないためには。
3月29日,眼を良くするには。
3月30日,若者を海外に出すには。
3月31日,きな粉を普及するには。
4月1日,日本代表の定義はなにか。
4月2日,満員電車で優しくなれるには。
4月3日,こども家庭庁を立て直すには。
4月4日,読書を促進するには。
4月5日,タクシー乗る人増やすには。
4月6日,飲み会を楽しいものにするには。
4月7日,便秘を解消するには。
4月8日,ウナギを増やすには。
4月9日,ドローンを早く普及するには。
4月10日,炭素を固定化するには。
4月11日,本を読む時間を作るには。
4月12日,ネーミングセンスをつけるには。
4月13日,Jアラートを正常にするには。
4月14日,残業しないためには。
4月15日,プールに入るには。
4月15日,水耕栽培を普及するには。
4月16日,不法滞在を無くすには。
4月16日,地震被害を無くすには。
4月17日,貿易赤字を減らすには。
4月18日,テーマパークを作るには。
4月19日,良いリーダーになるには。
4月20日,科学者が自由であるためには。
4月21日,邦人を救出するには。
4月22日,新しいおもちゃを作るには。ダンシングフラワーみたいなやつ。
4月23日,物の言い方をよくするには。
4月24日,ワクチンで人体改造。
4月25日,観光公害をなくすには。
4月26日,宇宙ビジネスを成功させるには
4月27日,職場の遊び時間を無くすには。
4月28日,学校の先生の仕事を考える
4月29日,政治家になる人を探すには。
4月30日,ケーキの予約をしやすくするには。
5月1日,連休の過ごし方を改善するには。
5月2日,サンダーバードを実現するには。
5月3日,憲法の何を改正するのか。
5月4日,レンタカーを上手く使うには。
5月5日,車の煽りを無くすには。
5月6日,挨拶する国になるには。
5月7日,空港の飛行機の混雑を無くすには。
5月8日,強盗を無くすには。
5月8日,テレビを面白くするには。
5月9日,コロナの再発に備えるには。
5月10日,中高年が体力を維持するには。
5月11日,バスの高度化を考える。
5月12日,飲食店とは何か。
5月13日,洗脳されている人を救うには。
5月14日,時給自足の方法は。
5月15日,AIと上手く付き合う方法は。
5月16日,変な人を避けるには。
5月17日,若者が道を誤らないためには。
5月18日,年金で損しないためには。
5月19日,人を動かすには。
5月20日,宇宙はビジネスになるのか。
5月21日,適度な運動をするには。
5月22日,新しいアイデアを思いつくには。
5月23日,東京の街並みを変えるには。
5月24日,移動手段を変革するには。
5月25日,こじれた関係を修復するには
5月26日,深夜の緊急事態に備えるには。
5月27日,いい図書館とは。
5月28日,飲食店の成功とは。いい接客とは。
5月29日,妥協点を探る方法論は。
5月30日,人の話をよく聞くには。
5月31日,北朝鮮のミサイル開発を止めるには。
6月1日,打ち上げで、上手く振る舞うには。
6月2日,台風の被害を防止するインフラは。
6月3日,地熱発電を普及するには。
6月4日,世襲政治家を禁止するには。
6月5日,働かない人をどうにかするには。
6月6日,ドライバーを楽にするには。
6月7日,通貨の将来はどうなるか。
6月8日,女の子を好きになるには。
6月9日,コンピュータシステムをちゃんと運用するには。
6月10日,数学でいい結果出すには。
6月11日,新しい哲学を生み出すには。
6月12日,梅雨のジメジメを無くすには。
6月13日,蚊を絶滅させるには。
6月14日,アンガーマネージメントするには。
6月15日,性格を変えるには。
6月16日,移民問題を解決するには。
6月17日,aiの規制の仕方。
6月18日,子供の数を急激に増やすには。
6月19日,オリーブオイルを自給するには。
6月20日,天才サッカー選手を生み出すには。
6月21日,田舎をたたむには。
6月22日,ワールドカップで優勝するには。
6月23日,いじめを無くすには。
6月24日,雑な女を無くすには。
6月25日,良いチームを作るには。
6月26日,嘘をつかないようにするには。
6月27日,乗り物に乗っている時間を有効に使うには。
6月28日,場の雰囲気をいっぺんに変えるには。
6月29日,数学的感性を身に着けるには
6月30日,人に気後れしないためには
7月1日,若者の心をつかむには。
7月2日,社会通になるには。
7月3日,立派な挨拶をするには。
7月4日,テレワークの効率を上げるには。
7月5日,ものづくり日本をどうするのか。
7月6日,日本の適正人口は。
7月7日,欺瞞をおさえるには
7月8日,珊瑚礁を復活させるには。
7月9日,いい殺人と悪い殺人とは。
7月10日,管理職手当とは。
7月11日,プライムデーは安いのか。
7月12日,インドの人とどうつきあうか。
7月13日,管理職が早く帰るには。
7月14日,過去のテレビ番組から学ぶには
7月15日,音楽に優劣はあるのか。
7月16日,電車遅延をさけるには。
7月17日,携帯に夢中な人を目覚めさせるには。
7月18日,古い映画を発掘するには。
7月19日,人種差別的な史観とは。
7月20日,自分の時間を作るには。
7月21日,企業の風土を変えるには。
7月22日,中国のやり方に対抗するには。
7月23日,ティファニーで買い物するには。
7月24日,忘れ物を防ぐには
7月25日,洋画を字幕なしでみるには。
7月26日,カラオケでかっこよく歌うには
7月27日,思い出の地のめぐり方
7月28日,海外に拠点を作るには。
7月29日,青少年のような切ない気持ちを保つには。
7月30日,アンチエイジングとはなんなのか。
7月31日,動画共有サイトをうまく使うには。
8月1日,鉱物で儲けるには。
8月2日,地球を冷やすには。
8月3日,海外旅行ではしゃがないためには。
8月4日,時間を守るには。
8月5日,コロナの再ブームを無視するには。
8月6日,外来生物を駆除するには。
8月7日,キュンのサインを無くすには。
8月8日,人を思いやる人になるには。
8月9日,アメフト部で薬物をやめさせるには。
8月10日,連休の宿や電車を確保するには。
8月11日,不必要に太った人を無くすには。
8月12日,女子スポーツを成功させるには。
8月13日,迂回路を考えておくには。
8月14日,蓄電池の効率を上げるには。
8月15日,動けなくなった時に時間を潰すには
8月16日,国産へのこだわりを無くすには
8月17日,国力を自覚するには
8月18日,物価の上昇を納得させるためには
8月19日,自然エネルギーを上手く使うには。
8月20日,故郷を感じるには。
8月21日,思い出を上手く残す媒体は。
8月22日,マージャンとかも道端でやるには。
8月23日,昭和はどこが良かったのか。
8月24日,古民家を残すには。
8月25日,大災害を意識しておくためには。
8月26日,熟年離婚を幸せなものにするには。
8月27日,芸術を理解するには。
8月28日,平安時代に心を馳せるには。
8月29日,国債でお得に生きるには。
8月30日,金を採掘するには。
8月31日,バスケをチームを強くするには。
9月1日,新しい仕事に慣れるには
9月2日,その場の空気を変えるには。
9月3日,災害に備えるとはどういうことか。
9月4日,10年後の自分を想像するには。
9月5日,出世とは。
9月6日,部落問題を無くすには。
9月7日,ジャニーズを救うには。
9月8日,天気予報の精度をあげるには。
9月9日,海外に格安で行くには。
9月10日,天体観測を楽しむには。
9月11日,いきに生きるには
9月12日,話があう人、あわない人とは。
9月13日,山林をどうデザインするのか。
9月14日,向上心とは何か。
9月15日,世界恐慌が起きるとどうなるのか。
9月16日,自転車をどう処分するのか。無価値なのか？
9月17日,感性を鋭くするには。
9月18日,面談でどう振る舞うのがいいのか。
9月19日,多言語を使いこなすには。
9月20日,物を形にするとは。
9月21日,戦争を終わらせるには。
9月22日,老後を楽しむ方法は。
9月23日,人を育てるには。
9月24日,竹で儲けるには。
9月25日,最新技術との関係性を考える。
9月27日,トウモロコシを栽培するには。
9月28日,円安でも上手くやるには。
9月29日,コンピュータは何ができるようになるのか。
9月29日,面白い脚本とは。
9月30日,花火で感動するためには。
10月1日,歳を感じないためには。
10月2日,英語の文章を簡単に書くには。
10月3日,政治を立て直すには。
10月4日,仕事を遅くまでしないためには。
10月5日,投資で成功するには。
10月6日,連絡を取れない苛立ちを収めるには。
10月7日,正しい環境政策とは。
10月8日,よい文学を残していくには。
10月9日,ステマをなくすには
10月10日,脱税を無くすには。
10月11日,生活保護を正すには。
10月12日,みんなが数学に興味を持つには。
10月13日,仕事に緩急をつけるには。
10月14日,地道に研究をするには。
10月15日,電脳社会を想像する。
10月16日,パレスチナ問題を解決するには。
10月17日,世界の黒幕は誰なのか。
10月18日,野生動物と共存するには。
10月19日,タクシー運転手を確保するには。
10月20日,みんなが黙るのをさけるには。
10月21日,詳細な資料の確認を行うには。
10月22日,グループで盛り上がる大人とは。
10月23日,気分転換する方法をたくさん集めるには。
10月24日,数学は暗記科目なのか。
10月25日,何事にも好奇心を持つには。
10月26日,日本を説明する方法。
10月27日,優柔不断の判断を避けるには。
10月28日,2024年問題を解決する。
10月29日,太陽パネル大量の廃棄物をどうするか。
10月30日,先延ばしの心理は。
10月31日,サービス業とは何か。
11月1日,声色を操るには。
11月2日,公人になるということの意味は。
11月3日,本屋を再生させるには。
11月4日,自動車業界を立て直すには。
11月5日,公共サービス、免許センターを改革するには。
11月6日,戦争はどのように始まるのか。
11月7日,人前で話すには。
11月8日,自信があるように見えるには。
11月9日,老化を止めるには。
11月10日,綺麗な身なりになるには。
11月11日,万博を立て直すには。
11月12日,自動運転で何が変わるのか。
11月13日,過疎の街を立て直すには。
11月14日,成長産業を作るには。
11月15日,人の心をつかむには。
11月16日,英語のスピーチをする方法
11月17日,スタンダップコメディアンになるには。
11月18日,科学イベントを盛り上げるには。
11月19日,科学少年少女を増やすには。
11月20日,くさい大人をなくすには。
11月21日,乗り物の乗り換えを最適化するには。
11月22日,最新IT技術について行くには。
11月23日,ペーパーレスで効率性を上げるには。
11月24日,スケジュール管理するには。
11月25日,大学を立て直すには。
11月26日,日本人が集まるところを作るには。
11月27日,自動機械を入れるには。
11月28日,デジタルロストを考える。
11月29日,希少価値を見出すには。心理学的に。
11月30日,暇な時間の過ごし方。
12月1日,墜落しても死なない方法。
12月2日,脱ペーパーするには。
12月3日,餓死しないための方法
12月4日,資産を倍増する。
12月5日,鳥インフルエンザと戦うには
12月6日,家制度とは何か。
12月7日,鉄道輸送を考える。
12月8日,地政学を考えるには。
12月9日,黒幕を想像する。
12月10日,ヒット新商品を考える
12月11日,フードロスを解決する。
12月12日,富士山から噴火した世界
12月13日,分からないことでも納得してもらうには。
12月14日,健康診断を最適化するには。
12月15日,政治家に正しくお金を配るには。
12月16日,世代間平等とは。
12月17日,いい旅行プランを立てるには。
12月18日,株式売買のタイミングとは。
12月19日,年賀状をどうするか
12月20日,くさい大人をなくすには。
12月21日,年休の正しい取り方とは。
12月22日,子供をしつけるとは。
12月23日,物価の違いとは。
12月24日,スケジュール管理するには。
12月25日,大学を立て直すには。
12月26日,強盗を無くすには。
12月27日,虫の知らせとは。
12月28日,休日の過ごし方。
12月29日,軍事拡張を止めるには。
12月30日,世の中に役に立つには。
12月31日,自分が成長しているか。
